clusters_num;significant_num;dummy_num;standard_dev
2;2;2;0.05
2;2;2;0.75
2;2;2;0.01
2;2;4;0.05
2;2;4;0.75
2;2;4;0.01
2;2;6;0.05
2;2;6;0.75
2;2;6;0.01
2;2;8;0.05
2;2;8;0.75
2;2;8;0.01
2;2;10;0.05
2;2;10;0.75
2;2;10;0.01
2;2;20;0.05
2;2;20;0.75
2;2;20;0.01
2;4;2;0.05
2;4;2;0.75
2;4;2;0.01
2;4;4;0.05
2;4;4;0.75
2;4;4;0.01
2;4;6;0.05
2;4;6;0.75
2;4;6;0.01
2;4;8;0.05
2;4;8;0.75
2;4;8;0.01
2;4;10;0.05
2;4;10;0.75
2;4;10;0.01
2;4;20;0.05
2;4;20;0.75
2;4;20;0.01
2;6;2;0.05
2;6;2;0.75
2;6;2;0.01
2;6;4;0.05
2;6;4;0.75
2;6;4;0.01
2;6;6;0.05
2;6;6;0.75
2;6;6;0.01
2;6;8;0.05
2;6;8;0.75
2;6;8;0.01
2;6;10;0.05
2;6;10;0.75
2;6;10;0.01
2;6;20;0.05
2;6;20;0.75
2;6;20;0.01
4;2;2;0.05
4;2;2;0.75
4;2;2;0.01
4;2;4;0.05
4;2;4;0.75
4;2;4;0.01
4;2;6;0.05
4;2;6;0.75
4;2;6;0.01
4;2;8;0.05
4;2;8;0.75
4;2;8;0.01
4;2;10;0.05
4;2;10;0.75
4;2;10;0.01
4;2;20;0.05
4;2;20;0.75
4;2;20;0.01
4;4;2;0.05
4;4;2;0.75
4;4;2;0.01
4;4;4;0.05
4;4;4;0.75
4;4;4;0.01
4;4;6;0.05
4;4;6;0.75
4;4;6;0.01
4;4;8;0.05
4;4;8;0.75
4;4;8;0.01
4;4;10;0.05
4;4;10;0.75
4;4;10;0.01
4;4;20;0.05
4;4;20;0.75
4;4;20;0.01
4;6;2;0.05
4;6;2;0.75
4;6;2;0.01
4;6;4;0.05
4;6;4;0.75
4;6;4;0.01
4;6;6;0.05
4;6;6;0.75
4;6;6;0.01
4;6;8;0.05
4;6;8;0.75
4;6;8;0.01
4;6;10;0.05
4;6;10;0.75
4;6;10;0.01
4;6;20;0.05
4;6;20;0.75
4;6;20;0.01
6;2;2;0.05
6;2;2;0.75
6;2;2;0.01
6;2;4;0.05
6;2;4;0.75
6;2;4;0.01
6;2;6;0.05
6;2;6;0.75
6;2;6;0.01
6;2;8;0.05
6;2;8;0.75
6;2;8;0.01
6;2;10;0.05
6;2;10;0.75
6;2;10;0.01
6;2;20;0.05
6;2;20;0.75
6;2;20;0.01
6;4;2;0.05
6;4;2;0.75
6;4;2;0.01
6;4;4;0.05
6;4;4;0.75
6;4;4;0.01
6;4;6;0.05
6;4;6;0.75
6;4;6;0.01
6;4;8;0.05
6;4;8;0.75
6;4;8;0.01
6;4;10;0.05
6;4;10;0.75
6;4;10;0.01
6;4;20;0.05
6;4;20;0.75
6;4;20;0.01
6;6;2;0.05
6;6;2;0.75
6;6;2;0.01
6;6;4;0.05
6;6;4;0.75
6;6;4;0.01
6;6;6;0.05
6;6;6;0.75
6;6;6;0.01
6;6;8;0.05
6;6;8;0.75
6;6;8;0.01
6;6;10;0.05
6;6;10;0.75
6;6;10;0.01
6;6;20;0.05
6;6;20;0.75
6;6;20;0.01
10;2;2;0.05
10;2;2;0.75
10;2;2;0.01
10;2;4;0.05
10;2;4;0.75
10;2;4;0.01
10;2;6;0.05
10;2;6;0.75
10;2;6;0.01
10;2;8;0.05
10;2;8;0.75
10;2;8;0.01
10;2;10;0.05
10;2;10;0.75
10;2;10;0.01
10;2;20;0.05
10;2;20;0.75
10;2;20;0.01
10;4;2;0.05
10;4;2;0.75
10;4;2;0.01
10;4;4;0.05
10;4;4;0.75
10;4;4;0.01
10;4;6;0.05
10;4;6;0.75
10;4;6;0.01
10;4;8;0.05
10;4;8;0.75
10;4;8;0.01
10;4;10;0.05
10;4;10;0.75
10;4;10;0.01
10;4;20;0.05
10;4;20;0.75
10;4;20;0.01
10;6;2;0.05
10;6;2;0.75
10;6;2;0.01
10;6;4;0.05
10;6;4;0.75
10;6;4;0.01
10;6;6;0.05
10;6;6;0.75
10;6;6;0.01
10;6;8;0.05
10;6;8;0.75
10;6;8;0.01
10;6;10;0.05
10;6;10;0.75
10;6;10;0.01
10;6;20;0.05
10;6;20;0.75
10;6;20;0.01
